Union ID,Loci,Union length,Occupancy score,Occupancy frequency,Constitutive,Genomic feature,Motif,Cell type gain,Cell type lost
139093,chr4:74874665-74875325,660,2022,0.964,Y,Exon:LOC105377282;Intron:LOC105377282,chr4:74874946-74874965(+),,"HSPC,FULVR"
139098,chr4:74932492-74933579,1087,1895,0.904,Y,Promoter:PARM1;Exon:PARM1;Intron:PARM1,"chr4:74932937-74932956(+),chr4:74932995-74933014(+),chr4:74933125-74933144(+),chr4:74933180-74933199(-)",,"DND-41,T-ALL,GBM8,CUTLL1,T-cell,Ca-Ski,neutrophil,BLaER,NK"
139177,chr4:75573395-75573956,561,2091,0.997,Y,Intergenic,"chr4:75573566-75573585(+),chr4:75573594-75573613(-),chr4:75573812-75573831(-)",,
139185,chr4:75653759-75654513,754,1630,0.777,Y,Exon:G3BP2;Intron:G3BP2,chr4:75654031-75654050(+),,"uterus,NALM-6,cortex,Mutu-LCL"
139202,chr4:75723673-75724732,1059,2063,0.984,Y,"Promoter:G3BP2,USO1;Exon:G3BP2,USO1;Intron:G3BP2",chr4:75724111-75724130(-),,brainstem
139219,chr4:75847817-75849039,1222,1990,0.949,Y,Intergenic,chr4:75848434-75848453(-),,"brainstem,cortex"
139226,chr4:75895427-75896347,920,1961,0.935,Y,Exon:PPEF2;Intron:PPEF2,chr4:75895903-75895922(+),,"brainstem,ovary,cortex,R1-hiPSC8"
139231,chr4:75915819-75916712,893,1998,0.953,Y,Exon:NAAA;Intron:NAAA,,,"brainstem,HSPC,cortex"
139240,chr4:75995550-75996291,741,1929,0.92,Y,Exon:SDAD1-AS1;Intron:SDAD1-AS1,chr4:75995945-75995964(+),,"cortex,LoVo,R1-hiPSC8"
139259,chr4:76067388-76068299,911,2024,0.965,Y,Intron:ART3,chr4:76067839-76067858(-),,HSPC
139261,chr4:76086980-76087615,635,1828,0.872,Y,Intron:ART3,chr4:76087363-76087382(-),,"brainstem,CUTLL1,neutrophil"
139272,chr4:76179581-76180477,896,2076,0.99,Y,Exon:SCARB2;Intron:SCARB2,chr4:76180003-76180022(+),,
139293,chr4:76251387-76252257,870,1616,0.771,Y,"Promoter:FAM47E-STBD1,LOC105377286;Exon:FAM47E,FAM47E-STBD1,LOC105377286;Intron:FAM47E,FAM47E-STBD1","chr4:76251750-76251769(+),chr4:76251859-76251878(+)",,"DND-41,brainstem,Rh30,OCI-Ly1,CUTLL1,OCI-Ly7,NALM-6,MCF-10CA1a,LCL1,697,DoHH2,Mutu-LCL,erythroblasts,OCI-Ly3,93-VU147T"
139317,chr4:76377920-76378708,788,1804,0.86,Y,Intron:CCDC158,chr4:76378180-76378199(-),,"brainstem,ovary,uterus,breast_epithelium,HSPC,FULVR,BEAS-2B,cortex,LoVo"
139327,chr4:76430539-76431181,642,1884,0.898,Y,Intergenic,chr4:76430958-76430977(+),,"brainstem,mesenchymal_stromal,KB"
139336,chr4:76504624-76505579,955,1848,0.881,Y,Intron:SHROOM3,chr4:76505049-76505068(-),,"Rh30,HSPC,cortex,mesenchymal_stromal,Mutu-LCL,EFO-27,SMS-CTR,FB8470,KB"
139337,chr4:76510802-76511602,800,1793,0.855,Y,Intron:SHROOM3,chr4:76511243-76511262(+),,"brainstem,HSPC,FULVR,BEAS-2B,cortex,mesenchymal_stromal,Mutu-LCL,neutrophil,KB"
139425,chr4:76758032-76758717,685,1982,0.945,Y,"Exon:SHROOM3-AS1;Intron:SHROOM3,SHROOM3-AS1","chr4:76758477-76758496(-),chr4:76758480-76758499(-)",,"Caov-3,brainstem,FULVR"
139507,chr4:77044362-77045287,925,1773,0.845,Y,Intergenic,chr4:77044712-77044731(-),,"Caov-3,brainstem,Rh30,FULVR,cortex,mesenchymal_stromal,Mutu-LCL,FB8470,KB"
139510,chr4:77051966-77052725,759,1808,0.862,Y,Intron:CCNI,chr4:77052457-77052476(+),,"mesothelial_epicardium,brainstem,ovary,cortex,EFO-27,nephron,KB"
139518,chr4:77095309-77095770,461,2049,0.977,Y,Intergenic,chr4:77095528-77095547(+),,
139546,chr4:77203567-77204053,486,1968,0.938,Y,Intergenic,chr4:77203786-77203805(-),,"VCaP,CUTLL1,HAP-1"
139560,chr4:77240450-77240871,421,2000,0.954,Y,Intergenic,chr4:77240672-77240691(+),,ovary
139571,chr4:77308820-77309589,769,1598,0.762,Y,Intergenic,chr4:77309042-77309061(-),,"mesothelial_epicardium,brainstem,ovary,uterus,cortex,mesenchymal_stromal"
139580,chr4:77358247-77358950,703,1863,0.888,Y,Intergenic,chr4:77358515-77358534(-),,"brainstem,ovary,FULVR,neutrophil"
139587,chr4:77385127-77385864,737,2036,0.971,Y,Intergenic,chr4:77385556-77385575(+),,
139596,chr4:77433176-77433848,672,1824,0.87,Y,Intergenic,chr4:77433567-77433586(-),,"GBM8,brainstem,HSPC,FULVR,mesenchymal_stromal,neutrophil"
139622,chr4:77599319-77599840,521,1567,0.747,Y,Intron:CXCL13,chr4:77599581-77599600(-),,"GBM8,brainstem,brain_organoid,cortex,neutrophil"
139623,chr4:77600624-77601234,610,1984,0.946,Y,Intron:CXCL13,chr4:77601058-77601077(-),,cortex
139627,chr4:77618346-77619163,817,2057,0.981,Y,Intergenic,chr4:77618825-77618844(-),,brainstem
139638,chr4:77698124-77698706,582,1547,0.738,Y,Intergenic,chr4:77698470-77698489(-),,"monocyte,brainstem,CUTLL1,uterus,LCL1,right_atrium_auricular_region,macrophage,FULVR,Mutu-LCL,vagina,GM25256,neutrophil"
139644,chr4:77818100-77819332,1232,1758,0.838,Y,Promoter:CNOT6L;Exon:CNOT6L;Intron:CNOT6L,"chr4:77818328-77818347(+),chr4:77819117-77819136(-)",,"U2OS,Tet21N,IOSE11,R1-hiPSC1,FULVR,EFO-27,GM25256,A549-ACE2"
139654,chr4:77862064-77863285,1221,1625,0.775,Y,Promoter:MRPL1;Exon:MRPL1;Intron:MRPL1,chr4:77862253-77862272(+),,"Caov-3,RMG-II,U2OS,Tet21N,R1-hiPSC4,FULVR,HMS001,mesenchymal_stromal,GM25256,CV-hIPS-B,RUES1"
139668,chr4:77959551-77960197,646,1836,0.876,Y,Promoter:LOC100128297,chr4:77959742-77959761(+),,"Rh4,brainstem,Rh30,HSPC,cortex,normal_urothelial,EFO-27,FB8470,KB,R1-hiPSC8"
139679,chr4:78059391-78060071,680,1851,0.883,Y,Intron:FRAS1,"chr4:78059684-78059703(+),chr4:78059762-78059781(+)",,"brainstem,CUTLL1,ovary,Mutu-LCL,neutrophil"
139756,chr4:78516969-78517473,504,1725,0.823,Y,Intron:FRAS1,chr4:78517243-78517262(-),,"brainstem,LCL1,HSPC,cortex,Mutu-LCL,KB,R1-hiPSC8"
139785,chr4:78612149-78613096,947,1818,0.867,Y,Promoter:LOC124900721,chr4:78612584-78612603(+),,"GBM8,brainstem,FULVR,mesoderm,cortex,EFO-27,GM25256"
139793,chr4:78644743-78645318,575,2014,0.96,Y,Promoter:LINC01094,,,"brainstem,Mutu-LCL,LoVo"
139833,chr4:78864361-78865021,660,1866,0.89,Y,Intron:BMP2K,chr4:78864598-78864617(-),,"GBM8,brainstem,R1-hiPSC1,HSPC,cortex,FB8470,KB,R1-hiPSC8"
139840,chr4:78951799-78952299,500,1897,0.905,Y,Intergenic,chr4:78952049-78952068(+),,"HSPC,R1-hiPSC8"
139849,chr4:79042003-79042860,857,1707,0.814,Y,Intron:LINC01088,chr4:79042260-79042279(+),,"monocyte,GBM8,brainstem,spleen,WI-38,HSPC,FULVR,cortex,mesenchymal_stromal,neutrophil"
139920,chr4:79575982-79576788,806,1680,0.801,Y,Exon:LINC00989;Intron:LOC107986294,chr4:79576603-79576622(-),,"monocyte,T-lymphocyte,brainstem,thyroid_gland,spleen,BEAS-2B,cortex,EFO-27,neutrophil"
139954,chr4:79917135-79917882,747,1850,0.882,Y,Intron:ANTXR2,chr4:79917353-79917372(+),,"GBM8,ovary,cortex,nephron"
139983,chr4:80125382-80125989,607,1682,0.802,Y,Intergenic,chr4:80125579-80125598(+),,"GBM8,brainstem,HSPC,cortex,mesenchymal_stromal,KB"
139997,chr4:80183854-80184563,709,1991,0.949,Y,Promoter:PRDM8;Intron:PRDM8-AS1,chr4:80184227-80184246(+),,K-562
140006,chr4:80201980-80202632,652,1726,0.823,Y,Exon:PRDM8,"chr4:80202103-80202122(+),chr4:80202338-80202357(-),chr4:80202340-80202359(+),chr4:80202343-80202362(+),chr4:80202406-80202425(+),chr4:80202416-80202435(+),chr4:80202473-80202492(-)",,"DND-41,Rh4,T-47D,GBM8,RMG-II,DIvA,brainstem,U2OS,Tet21N,CUTLL1,Hep-G2,MDA-MB-435,GBM,PANC-1,Kelly,SK-N-SH,Mutu-LCL,K-562,OCI-Ly3,LoVo,JHOC-5"
140010,chr4:80215311-80216039,728,1795,0.856,Y,Intergenic,chr4:80215628-80215647(-),,"Caov-3,Rh4,brainstem,Rh30,R1-hiPSC4,bladder,HSPC,cortex,D-54MG,Mutu-LCL,SMS-CTR,FB0167P,KB"
140032,chr4:80335655-80336196,541,1561,0.744,Y,Exon:CFAP299;Intron:CFAP299,"chr4:80335864-80335883(-),chr4:80335954-80335973(-)",,"DND-41,T-ALL,T-47D,DIvA,U2OS,CUTLL1,NALM-6,697,PC-3,A-673,EFO-27,Ca-Ski,93-VU147T,neutrophil,MOLT-14,KB,BLaER,HaCaT,Jurkat,ALL_xenograft"
140037,chr4:80362562-80362960,398,1699,0.81,Y,Exon:CFAP299;Intron:CFAP299,chr4:80362767-80362786(+),,"uterus,thoracic_aorta,thyroid_gland,gastrocnemius_medialis,HSPC,FULVR,cortex,neutrophil"
140038,chr4:80365818-80366320,502,1703,0.812,Y,Intron:CFAP299,chr4:80366104-80366123(+),,"uterus,HSPC,FULVR,neutrophil"
140089,chr4:80989705-80990598,893,1891,0.902,Y,Intergenic,"chr4:80990118-80990137(-),chr4:80990319-80990338(-)",,"GBM8,HSPC,mesenchymal_stromal,FB8470,R1-hiPSC8"
140098,chr4:81039850-81040456,606,1880,0.897,Y,Intron:BMP3,chr4:81040233-81040252(-),,"brainstem,HSPC,cortex,mesenchymal_stromal,vagina,neutrophil,KB"
140099,chr4:81052167-81052823,656,1964,0.937,Y,Intron:BMP3,chr4:81052649-81052668(-),,HSPC
140101,chr4:81069484-81070338,854,2066,0.985,Y,Intergenic,chr4:81069931-81069950(+),,
140141,chr4:81351462-81352299,837,2053,0.979,Y,Intergenic,chr4:81351835-81351854(-),,
140150,chr4:81405622-81406516,894,1962,0.936,Y,Intergenic,"chr4:81405959-81405978(+),chr4:81406223-81406242(+)",,"brainstem,HSPC,FULVR,cortex,mesenchymal_stromal,EFO-27"
140165,chr4:81467175-81467759,584,1949,0.929,Y,Intron:RASGEF1B,chr4:81467568-81467587(+),,"IMR32,GBM8,NALM-6,HSPC,cortex,Mutu-LCL"
140218,chr4:81844482-81845238,756,1922,0.917,Y,Intergenic,"chr4:81844868-81844887(-),chr4:81845016-81845035(+)",,"brainstem,IOSE11,HSPC,cortex,mesenchymal_stromal,KB"
140227,chr4:81913349-81913949,600,1936,0.923,Y,Intergenic,,,"ovary,uterus"
140255,chr4:82201720-82202647,927,1929,0.92,Y,Intergenic,chr4:82202218-82202237(-),,"ovary,HSPC,FULVR,BEAS-2B,cortex"
140265,chr4:82268312-82268966,654,2007,0.957,Y,Intron:LOC105377308,chr4:82268761-82268780(-),,IOSE11
140271,chr4:82284713-82285824,1111,2075,0.99,Y,"Promoter:LOC105377308,VAMP9P;Exon:LOC105377308,VAMP9P;Intron:LOC105377308,VAMP9P","chr4:82284956-82284975(-),chr4:82285347-82285366(-)",,
140276,chr4:82360366-82361112,746,1815,0.866,Y,Intron:HNRNPD,"chr4:82360732-82360751(-),chr4:82360948-82360967(-)",,"GBM8,brainstem,HSPC,cortex,RKO,KB"
140293,chr4:82429014-82429824,810,2037,0.971,Y,"Promoter:ENOPH1,HNRNPDL;Exon:HNRNPDL;Intron:HNRNPDL",chr4:82429525-82429544(-),,
140302,chr4:82461990-82462868,878,2047,0.976,Y,Intergenic,"chr4:82462573-82462592(+),chr4:82462670-82462689(+)",,
140350,chr4:82721753-82722254,501,1709,0.815,Y,Intron:SCD5,chr4:82722007-82722026(+),,"brainstem,uterus,thoracic_aorta,lymph_node,GM25256,neutrophil,RUES1"
140356,chr4:82739249-82739719,470,2024,0.965,Y,Intron:SCD5,"chr4:82739234-82739253(+),chr4:82739466-82739485(-)",,"Tet21N,CUTLL1,BT-245,SK-MEL-147,Ca-Ski,93-VU147T"
140384,chr4:82852008-82853189,1181,1666,0.794,Y,Intron:SEC31A,"chr4:82852441-82852460(+),chr4:82852851-82852870(+)",,"brainstem,uterus,cortex,mesenchymal_stromal,Mutu-LCL,LoVo,nephron"
140392,chr4:82898205-82898910,705,1531,0.73,Y,"Promoter:SEC31A,SNORD144,THAP9;Exon:SNORD144;Intron:SEC31A,THAP9-AS1",chr4:82898417-82898436(-),,"brainstem,Caco-2,retina,R1-hiPSC4,22Rv1,HUES-64,CyT49,FULVR,cortex,mesenchymal_stromal,HEC-1-B,Mutu-LCL,GM25256,LoVo,SMS-CTR,KB,CV-hIPS-B"
140410,chr4:83012592-83013371,779,1792,0.855,Y,Promoter:LIN54;Exon:LIN54;Intron:LIN54,chr4:83012803-83012822(-),,"SU-DHL-6,tongue,MCF-10CA1a,macrophage,HMS001,Ca-Ski,A549-ACE2,93-VU147T"
140427,chr4:83073562-83074762,1200,1968,0.938,Y,Intron:COPS4,chr4:83074187-83074206(+),,"brainstem,HSPC,FULVR,cortex,Mutu-LCL"
140438,chr4:83110306-83110931,625,1937,0.924,Y,Intron:PLAC8,,,brainstem
140474,chr4:83252782-83253239,457,1968,0.938,Y,Intergenic,chr4:83252994-83253013(-),,"GBM8,brainstem,FULVR,cortex"
140478,chr4:83260486-83261287,801,2017,0.962,Y,Intergenic,chr4:83260735-83260754(-),,brainstem
140484,chr4:83281794-83282600,806,1843,0.879,Y,Intron:COQ2,chr4:83282223-83282242(-),,"IMR32,NALM-6,HSPC,cortex,KB"
140522,chr4:83490453-83491512,1059,1979,0.944,Y,Intergenic,"chr4:83491055-83491074(-),chr4:83491068-83491087(+)",,"ovary,FULVR,cortex,EFO-27"
140525,chr4:83509069-83509618,549,1972,0.94,Y,Intergenic,"chr4:83509433-83509452(+),chr4:83509238-83509257(+)",,"GBM8,cortex"
140555,chr4:83639850-83640273,423,1966,0.938,Y,Intergenic,chr4:83640076-83640095(-),,"brainstem,HSPC,FULVR"
140557,chr4:83644664-83645268,604,1949,0.929,Y,Intergenic,chr4:83644862-83644881(+),,"IMR32,FULVR,cortex,FB8470,R1-hiPSC8"
140576,chr4:83771061-83771524,463,1843,0.879,Y,Intergenic,"chr4:83771295-83771314(+),chr4:83771475-83771494(-),chr4:83771477-83771496(+)",,"monocyte,uterus,thoracic_aorta,cortex,vagina,neutrophil,NK"
140622,chr4:84258953-84259638,685,1764,0.841,Y,Intron:LINC02994,"chr4:84259421-84259440(-),chr4:84259434-84259453(+)",,"ovary,uterus,cortex,CD34,neutrophil"
140646,chr4:84451265-84452166,901,1538,0.733,Y,Intergenic,chr4:84451748-84451767(-),,"psoas_muscle,Caov-3,ovary,uterus,Myometrium,spleen,gastrocnemius_medialis,HSPC,FULVR,neuron,cortex,mesenchymal_stromal,EFO-27,neutrophil,KB,NK"
140658,chr4:84503777-84504229,452,1930,0.92,Y,Intergenic,"chr4:84503915-84503934(-),chr4:84504029-84504048(-)",,"HSPC,neutrophil,NK"
140661,chr4:84529162-84529770,608,1776,0.847,Y,Intron:LOC102723338,chr4:84529355-84529374(-),,"IMR32,Rh4,Rh30,ovary,neuron,lymph_node,cortex,SMS-CTR,KB"
140668,chr4:84578573-84578965,392,1735,0.827,Y,Intron:LOC102723338,chr4:84578757-84578776(+),,"Caov-3,GBM8,uterus,HSPC,FULVR,cortex,neutrophil,NK"
140693,chr4:84750016-84751121,1105,1827,0.871,Y,Intron:WDFY3,chr4:84750450-84750469(+),,"brainstem,R1-hiPSC4,R1-hiPSC1,FULVR,mesenchymal_stromal,Mutu-LCL,FB8470"
140717,chr4:84971218-84972247,1029,1704,0.813,Y,Intron:WDFY3-AS2,chr4:84971521-84971540(-),,"Caov-3,brainstem,Rh30,WERI-Rb-1,SK-MEL-147,cortex,Calu-3,mesenchymal_stromal,Mutu-LCL,KB,R1-hiPSC8"
140730,chr4:85084087-85085067,980,1853,0.884,Y,Intergenic,chr4:85084580-85084599(+),,"brainstem,HSPC,cortex,mesenchymal_stromal"
140732,chr4:85127496-85128040,544,1745,0.832,Y,Intergenic,"chr4:85127767-85127786(-),chr4:85127769-85127788(+),chr4:85127824-85127843(-)",,"Caov-3,colon,ovary,uterus,breast_epithelium,EFO-27,vagina,neutrophil,NK"
140733,chr4:85147304-85147976,672,1836,0.876,Y,Intergenic,chr4:85147658-85147677(+),,"HSPC,cortex,mesenchymal_stromal,KB"
140750,chr4:85369769-85371021,1252,1944,0.927,Y,Intergenic,"chr4:85369894-85369913(+),chr4:85370559-85370578(+),chr4:85370624-85370643(-)",,"brainstem,ovary,uterus,neutrophil,NK"
140815,chr4:85747831-85748537,706,1971,0.94,Y,Intron:ARHGAP24,chr4:85748064-85748083(-),,"FULVR,cortex,mesenchymal_stromal,FB8470"
140817,chr4:85756612-85757307,695,1622,0.773,Y,Intron:ARHGAP24,"chr4:85756774-85756793(-),chr4:85757173-85757192(+)",,"Caov-3,brainstem,CUTLL1,breast_epithelium,FULVR,T-cell,cortex,Calu-3,vagina,LoVo,neutrophil"
140826,chr4:85796669-85797224,555,2046,0.976,Y,Exon:ARHGAP24,"chr4:85796806-85796825(+),chr4:85797094-85797113(-)",,
140859,chr4:85968946-85969509,563,1724,0.822,Y,Intron:ARHGAP24,chr4:85969169-85969188(-),,"IMR32,GBM8,brainstem,R1-hiPSC1,cortex,EFO-27,SMS-CTR,KB,NK"
140868,chr4:86043820-86044805,985,1896,0.904,Y,Intron:MAPK10,chr4:86044184-86044203(-),,"IOSE11,HSPC,FULVR,mesenchymal_stromal"
140886,chr4:86223136-86223982,846,1614,0.77,Y,Intron:MAPK10,"chr4:86223612-86223631(-),chr4:86223617-86223636(+),chr4:86223714-86223733(-),chr4:86223717-86223736(-),chr4:86223920-86223939(-)",,"peyers_patch,esophagus_muscularis_mucosa,GBM8,colon,retina,stomach,ovary,uterus,spleen,gastrocnemius_medialis,breast_epithelium,T-cell,lymph_node,cortex,pancreas,gastroesophageal_sphincter,tibial_nerve,coronary_artery,neutrophil,tibial_artery,NK"
140923,chr4:86496068-86496568,500,1938,0.924,Y,Intron:MAPK10,"chr4:86496283-86496302(+),chr4:86496492-86496511(-)",,"HSPC,cortex"
140926,chr4:86498494-86498952,458,1920,0.916,Y,Intron:MAPK10,chr4:86498754-86498773(+),,"HSPC,cortex"
140973,chr4:86895698-86896324,626,1850,0.882,Y,Intron:C4orf36,chr4:86895923-86895942(-),,"IMR32,brainstem,Rh30,cortex,mesenchymal_stromal,normal_urothelial,FB8470,KB"
140982,chr4:86922385-86922796,411,2082,0.993,Y,Intron:C4orf36,chr4:86922545-86922564(+),,
140986,chr4:86934556-86935384,828,1723,0.822,Y,"Promoter:AFF1,AFF1-AS1,C4orf36;Exon:AFF1,AFF1-AS1,C4orf36;Intron:C4orf36","chr4:86934879-86934898(-),chr4:86934882-86934901(+),chr4:86935115-86935134(+),chr4:86935173-86935192(+)",,"U2OS,macrophage,Ca-Ski,GM25256,93-VU147T"
141008,chr4:87006441-87007578,1137,1517,0.723,Y,Exon:AFF1;Intron:AFF1,,,"Caov-3,brainstem,macrophage,Ca-Ski,GM25256,SMS-CTR"
141046,chr4:87093173-87093960,787,1936,0.923,Y,Intron:AFF1,chr4:87093721-87093740(-),,"Caov-3,R1-hiPSC8"
141059,chr4:87150674-87151405,731,1993,0.95,Y,Intergenic,chr4:87150968-87150987(+),,"brainstem,HSPC,FULVR,cortex,mesenchymal_stromal,FB8470"
141069,chr4:87219528-87220978,1450,1674,0.798,Y,Exon:KLHL8;Intron:KLHL8,"chr4:87219729-87219748(-),chr4:87219903-87219922(+),chr4:87219942-87219961(+),chr4:87219961-87219980(-),chr4:87220607-87220626(-),chr4:87220676-87220695(-),chr4:87220713-87220732(-)",,"macrophage,GM25256,93-VU147T"
141070,chr4:87235658-87236151,493,2047,0.976,Y,Intron:KLHL8,chr4:87235959-87235978(-),,
141076,chr4:87270126-87270652,526,1700,0.811,Y,Intergenic,,,"LCL1,spleen,HSPC,FULVR,mesenchymal_stromal,Mutu-LCL,GM25256,neutrophil"
141086,chr4:87353190-87354187,997,1823,0.869,Y,Intron:HSD17B11,chr4:87353676-87353695(+),,"Caov-3,HSPC,cortex,Calu-3,HEC-1-B,EFO-27,RKO,LoVo,Jurkat"
141088,chr4:87375144-87376495,1351,1985,0.947,Y,Intron:HSD17B11,chr4:87375873-87375892(+),,"FULVR,BEAS-2B,cortex,Mutu-LCL"
141104,chr4:87465723-87466639,916,1872,0.893,Y,Intron:SCPPPQ1,chr4:87465942-87465961(-),,"GBM8,brainstem,FULVR,cortex,FB0167P,FB8470,KB,R1-hiPSC8"
141109,chr4:87496841-87497701,860,1628,0.776,Y,Exon:SPARCL1;Intron:SPARCL1,"chr4:87496950-87496969(-),chr4:87497326-87497345(+)",,"EndoC-[beta]H3,retina,gastrocnemius_medialis,HSPC,neuron,cortex"
141122,chr4:87543558-87544609,1051,1705,0.813,Y,Intergenic,chr4:87544007-87544026(+),,"monocyte,T-lymphocyte,GBM8,retina,CUTLL1,HSPC,FULVR,mesenchymal_stromal,Mutu-LCL,neutrophil"
141143,chr4:87679200-87680218,1018,2012,0.959,Y,Promoter:LOC105377323;Exon:LOC105377323;Intron:LOC105377323,"chr4:87679616-87679635(+),chr4:87680131-87680150(+)",,GBM8
141163,chr4:87839151-87840129,978,1922,0.917,Y,Exon:MEPE;Intron:MEPE,,,"FULVR,EFO-27"
141165,chr4:87848644-87849366,722,1954,0.932,Y,Intergenic,"chr4:87848780-87848799(-),chr4:87849173-87849192(-)",,HSPC
141189,chr4:87973227-87974035,808,2018,0.962,Y,"Promoter:LOC124900730,SPP1;Exon:LOC124900730;Intron:LOC124900730",chr4:87973768-87973787(-),,"HSPC,FULVR"
141194,chr4:87985566-87986236,670,1852,0.883,Y,Intergenic,chr4:87985788-87985807(-),,"mesothelial_epicardium,ovary"
141205,chr4:88032954-88034037,1083,1939,0.925,Y,Intron:PKD2,chr4:88033490-88033509(+),,"brainstem,FULVR,cortex,mesenchymal_stromal,Mutu-LCL,EFO-27,KB"
141209,chr4:88054869-88055311,442,1675,0.799,Y,Intron:PKD2,chr4:88055086-88055105(+),,"T-lymphocyte,brainstem,CUTLL1,T-cell,lymph_node,neutrophil,NK"
141231,chr4:88211424-88212602,1178,1933,0.922,Y,Exon:ABCG2;Intron:ABCG2,"chr4:88212148-88212167(-),chr4:88212318-88212337(-)",,"Caov-3,brainstem,HSPC,FULVR,mesenchymal_stromal,EFO-27,FB8470,KB"
141233,chr4:88218788-88219494,706,1878,0.896,Y,Intron:ABCG2,chr4:88219205-88219224(+),,"Caov-3,brainstem,Rh30,SK-MEL-147,HSPC,cortex,Mutu-LCL,EFO-27,KB,R1-hiPSC8"
141264,chr4:88369001-88369943,942,1913,0.912,Y,Intergenic,chr4:88369420-88369439(+),,"lymph_node,Mutu-LCL"
141266,chr4:88378750-88379635,885,1980,0.944,Y,Promoter:HERC6;Exon:HERC6;Intron:HERC6,"chr4:88379003-88379022(+),chr4:88379066-88379085(+),chr4:88379534-88379553(+)",,"KMS-11,Mutu-LCL,93-VU147T"
141274,chr4:88456381-88457610,1229,1916,0.914,Y,"Promoter:HERC5;Exon:HERC5,LOC102723458;Intron:HERC5,LOC102723458",chr4:88456828-88456847(-),,"DIvA,OCI-Ly1,OCI-Ly3"
141280,chr4:88515584-88516284,700,2041,0.973,Y,Intergenic,chr4:88515824-88515843(-),,
141291,chr4:88539431-88540077,646,1950,0.93,Y,Intron:HERC3,chr4:88539651-88539670(+),,"brainstem,ovary,BEAS-2B,cortex,LoVo"
141314,chr4:88659291-88659921,630,1936,0.923,Y,Intron:HERC3,,,"BEAS-2B,cortex"
141316,chr4:88672691-88673523,832,1876,0.895,Y,Intron:HERC3,"chr4:88672860-88672879(-),chr4:88673111-88673130(+)",,"FULVR,cortex,Mutu-LCL"
141323,chr4:88706220-88707113,893,1610,0.768,Y,Exon:HERC3;Intron:HERC3,,,"DND-41,monocyte,SU-DHL-6,CUTLL1,spleen,macrophage,CP-A,FULVR,HMS001,T-cell,BEAS-2B,GM12864,GM12875,Mutu-LCL,GFTR230,LoVo,93-VU147T,neutrophil,KB,GM12865,NK"
141346,chr4:88818472-88819077,605,1861,0.887,Y,Intron:FAM13A,chr4:88818839-88818858(+),,R1-hiPSC8
141383,chr4:89023729-89024699,970,1941,0.926,Y,Intron:FAM13A,chr4:89024249-89024268(-),,"Caov-3,HSPC,cortex,mesenchymal_stromal,KB,R1-hiPSC8"
141390,chr4:89111032-89111786,754,2040,0.973,Y,Promoter:TIGD2;Exon:TIGD2;Intron:TIGD2,"chr4:89111112-89111131(+),chr4:89111320-89111339(-),chr4:89111780-89111799(-)",,"LUHMES,Mutu-LCL"
141402,chr4:89158853-89159295,442,1896,0.904,Y,Intergenic,chr4:89159081-89159100(+),,"brainstem,HSPC,cortex,Mutu-LCL,FB8470,KB"
141409,chr4:89226641-89227368,727,2017,0.962,Y,Intergenic,chr4:89227137-89227156(+),,
141415,chr4:89254548-89255402,854,2019,0.963,Y,Intron:GPRIN3,chr4:89254945-89254964(+),,cortex
141445,chr4:89434348-89434741,393,1839,0.877,Y,Intergenic,chr4:89434559-89434578(-),,"HSPC,cortex,FB8470"
141471,chr4:89641051-89641758,707,1528,0.729,Y,Intron:LOC105377329,chr4:89641268-89641287(+),,"RPE1,esophagus_squamous_epithelium,DIvA,brainstem,CUTLL1,tongue,thoracic_aorta,spleen,RPE,KMS-11,gastrocnemius_medialis,SK-MEL-147,HMS001,SiHa,cortex,DLD-1,vagina,LoVo,93-VU147T,neutrophil,ascending_aorta,Kuramochi,BLaER"
141498,chr4:89868516-89869629,1113,1523,0.726,Y,Intergenic,chr4:89869186-89869205(-),,"IMR32,Rh4,brainstem,CUTLL1,BT-245,CyT49,R1-hiPSC1,HSPC,cortex,mesenchymal_stromal,normal_urothelial,EFO-27,SMS-CTR,neutrophil,FB0167P,KB,CV-hIPS-B"
141503,chr4:89901428-89902215,787,1948,0.929,Y,Exon:MMRN1;Intron:MMRN1,chr4:89902020-89902039(-),,"brainstem,FULVR,LoVo,neutrophil"
141550,chr4:90314855-90315468,613,2013,0.96,Y,Intron:CCSER1,chr4:90315253-90315272(+),,"FULVR,mesenchymal_stromal,Mutu-LCL"
141557,chr4:90357055-90357704,649,1599,0.763,Y,Intron:CCSER1,chr4:90357307-90357326(+),,"GBM8,brainstem,Rh30,CUTLL1,R1-hiPSC4,ovary,HSPC,cortex,Mutu-LCL,EFO-27,neutrophil,FB8470"
141560,chr4:90418986-90419503,517,1582,0.754,Y,Intron:CCSER1,chr4:90419286-90419305(+),,"HEL,monocyte,Rh4,brainstem,Rh30,ovary,erythroid,HSPC,BEAS-2B,cortex,Mutu-LCL,SMS-CTR,neutrophil,KB"
141616,chr4:91113045-91114045,1000,1710,0.815,Y,Intron:CCSER1,chr4:91113303-91113322(+),,"monocyte,brainstem,ovary,uterus,gastrocnemius_medialis,FULVR,T-cell,cortex,mesenchymal_stromal,LoVo,neutrophil,NK"
141716,chr4:92387198-92387870,672,1748,0.834,Y,Intron:GRID2,chr4:92387660-92387679(-),,"cortex,mesenchymal_stromal,neutrophil"
